9.92,-8.8,9.84,-8.8,9.84,9.84,-8.56,-8.64,-8.8,9.92,10
-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84
-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9
-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87
-24.54,27.44,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,27.88
-32.63,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63
-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83
-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74
-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,70.41
-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-24.25,-72.08
-81.68,-81.68,-81.68,-52.72,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68
-90.37,-90.37,-89.55,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37
-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79
53.71,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64
-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68
-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74
-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74,-109.74
-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68,-107.68
-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64,-103.64
-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79,-97.79
-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37,-90.37
-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68,-81.68
-72.08,-72.08,81.26,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08,-72.08
-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96,-61.96
-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74,-51.74
-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83,-41.83
-32.63,-32.63,36.79,-32.63,36.49,-32.63,-32.63,-32.63,-32.63,-32.63,-32.63
-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54,-24.54
-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87,-17.87
-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9,-12.9
-9.84,-9.84,11.09,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84,-9.84
